"id","image_name","image_path","created_at"
"1","スクショ","image01.png","2026-01-03 18:11:31"
"2","スクショ","sql_projectphoto1.jpg.png","2026-01-03 18:14:52"
"id","user_name","email","created_at","age","joined_date","department","position","primary_skill","user_name_kana","user_name_ruby","profile_image_url"
"1","佐藤 健二","sato.k@example.jp","2026-01-04 15:29:04","28","2022-04-07","営業部","PM","Figma","さとう けんじ","サトウ ケンジ",NULL
"2","鈴木 一郎","suzuki@example.com","2026-01-10 15:40:42","33","2023-12-17","デザイン部","人事","Python","すずき いちろう","スズキ イチロウ",NULL
"3","鈴木 一郎","suzuki.i@example.com","2026-01-04 15:29:04","24","2023-01-08","営業部","PM","Figma","すずき いちろう","スズキ イチロウ",NULL
"4","高橋 美咲","takahashi.m@example.net","2026-01-04 15:29:04","44","2023-03-20","営業部","デザイナー","Go","たかはし みさき","タカハシ ミサキ",NULL
"5","田中 結衣","tanaka.y@example.org","2026-01-04 15:29:04","46","2022-01-09","営業部","PM","Go","たなか ゆい","タナカ ユイ",NULL
"6","渡辺 翔太","watanabe.s@example.jp","2026-01-04 15:29:04","35","2020-06-21","デザイン部","エンジニア","React","わたなべ しょうた","ワタナベ ショウタ",NULL
"7","伊藤 杏奈","ito.a@example.com","2026-01-04 15:29:04","23","2021-04-16","デザイン部","エンジニア","Python","いとう あんな","イトウ アンナ",NULL
"8","山本 裕太","yamamoto.y@example.net","2026-01-04 15:29:04","34","2020-01-12","営業部","エンジニア","AWS","やまもと ゆうた","ヤマモト ユウタ",NULL
"9","中村 蓮","nakamura.r@example.org","2026-01-04 15:29:04","39","2021-04-15","開発部","人事","Python","なかむら れん","ナカムラ レン",NULL
"10","小林 莉子","kobayashi.r@example.jp","2026-01-04 15:29:04","34","2021-05-06","営業部","デザイナー","React","こばやし りこ","コバヤシ リコ",NULL
"11","加藤 陽介","kato.y@example.com","2026-01-04 15:29:04","37","2022-11-13","開発部","デザイナー","React","かとう ようすけ","カトウ ヨウスケ",NULL
"12","吉田 葵","yoshida.a@example.net","2026-01-04 15:29:04","20","2020-04-23","デザイン部","デザイナー","Python","よしだ あおい","ヨシダ アオイ",NULL
"13","山田 太郎","yamada.t@example.org","2026-01-04 15:29:04","59","2022-12-11","営業部","エンジニア","React","やまだ たろう","ヤマダ タロウ",NULL
"14","佐々木 翼","sasaki.t@example.jp","2026-01-04 15:29:04","44","2023-10-18","開発部","デザイナー","Go","ささき つばさ","ササキ ツバサ",NULL
"15","山口 真央","yamaguchi.m@example.com","2026-01-04 15:29:04","26","2020-02-24","開発部","PM","Python","やまぐち まお","ヤマグチ マオ",NULL
"16","松本 潤","matsumoto.j@example.net","2026-01-04 15:29:04","23","2024-05-06","営業部","デザイナー","Go","まつもと じゅん","マツモト ジュン",NULL
"17","井上 健太","inoue.k@example.org","2026-01-04 15:29:04","22","2021-04-21","営業部","エンジニア","Go","いのうえ けんた","イノウエ ケンタ",NULL
"18","木村 拓也","kimura.t@example.jp","2026-01-04 15:29:04","22","2023-06-20","デザイン部","人事","AWS","きむら たくや","キムラ タクヤ",NULL
"19","林 瑠奈","hayashi.l@example.com","2026-01-04 15:29:04","27","2023-06-10","営業部","デザイナー","Python","はやし るな","ハヤシ ルナ",NULL
"20","斎藤 匠","saito.t@example.net","2026-01-04 15:29:04","51","2021-10-18","開発部","デザイナー","AWS","さいとう たくみ","サイトウ タクミ",NULL
"21","清水 翔","shimizu.s@example.org","2026-01-04 15:29:04","29","2023-09-01","営業部","PM","Figma","しみず しょう","シミズ ショウ",NULL
